off	sire	dam	sexe
IF2014008039	BMC.DL.NEM0..2017.4	IF2011001249	F
IF2014008040	BMC.DL.NEM0..2017.2	IF2011001135	F
IF2014008041	NEM5	IF2011001179	M
IF2014008042	BMC.DL.NEM0..2017.16	IF2011001179	U
IF2014008043	IOLR.DL.SEM0..2017.19	IF2011001179	F
IF2014008044	IOLR.DL.SEM0..2017.16	IF2011001249	U
IF2014008045	SEM4	#1	U
IF2014008046	BMC.DL.NEM0..2017.4	IF2011001486	F
IF2014008047	NEM5	IF2011001135	U
IF2014008048	BMC.DL.NEM0..2017.15	IF2011001135	U
IF2014008049	IOLR.DL.SEM0..2017.1	IF2011001249	U
IF2014008050	BMC.DL.NEM0..2017.9	IF2011001249	U
IF2014008051	IOLR.DL.SEM0..2017.19	IF2011001280	M
IF2014008052	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014008053	IOLR.DL.SEM0..2017.14	IF2011001280	F
IF2014008054	IOLR.DL.SEM0..2017.21	IF2011001005	U
IF2014008055	IOLR.DL.SEM0..2017.8	IF2011001135	F
IF2014008056	BMC.DL.NEM0..2017.10	IF2011001179	F
IF2014008057	BMC.DL.NEM0..2017.8	IF2011001179	U
IF2014008058	SEM2	IF2011001135	M
IF2014008059	NEM5	IF2011001249	U
IF2014008060	BMC.DL.NEM0..2017.29	IF2011001179	U
IF2014008061	IOLR.DL.SEM0..2017.14	IF2011001249	U
IF2014008062	IOLR.DL.SEM0..2017.9	IF2011001179	F
IF2014008063	IOLR.DL.SEM0..2017.20	IF2011001135	M
IF2014008064	*5	IF2011001486	U
IF2014008065	IOLR.DL.SEM0..2017.14	IF2011001107	U
IF2014008066	IOLR.DL.SEM0..2017.11	IF2011001135	F
IF2014008067	IOLR.DL.SEM0..2017.6	IF2011001135	F
IF2014008068	IOLR.DL.SEM0..2017.16	IF2011001102	M
IF2014008069	IOLR.DL.SEM0..2017.6	IF2011001486	F
IF2014008070	IOLR.DL.SEM0..2017.14	IF2011001280	U
IF2014008071	*2	IF2011001249	U
IF2014008072	IOLR.DL.SEM0..2017.8	#1	U
IF2014008073	IOLR.DL.SEM0..2017.1	IF2011001102	U
IF2014008074	IOLR.DL.SEM0..2017.17	IF2011001179	F
IF2014008075	BMC.DL.NEM0..2017.4	IF2011001280	M
IF2014008076	IOLR.DL.SEM0..2017.9	IF2011001135	M
IF2014008077	NEM5	IF2011001207	F
IF2014008078	BMC.DL.NEM0..2017.8	IF2011001135	F
IF2014008079	IOLR.DL.SEM0..2017.11	IF2011001135	F
IF2014008080	BMC.DL.NEM0..2017.6	IF2011001107	U
IF2014008081	NEM5	IF2011001249	U
IF2014008082	IOLR.DL.SEM0..2017.6	IF2011001179	U
IF2014008083	BMC.DL.NEM0..2017.3	IF2011001135	M
IF2014008084	BMC.DL.NEM0..2017.2	IF2011001249	U
IF2014008085	IOLR.DL.SEM0..2017.12	IF2011001486	F
IF2014008086	IOLR.DL.SEM0..2017.7	IF2011001249	U
IF2014008087	BMC.DL.NEM0..2017.6	IF2011001249	U
IF2014008088	IOLR.DL.SEM0..2017.16	IF2011001179	M
IF2014008089	IOLR.DL.SEM0..2017.7	IF2011001179	M
IF2014008090	NEM5	IF2011001102	U
IF2014008091	IOLR.DL.SEM0..2017.6	IF2011001249	U
IF2014008092	IOLR.DL.SEM0..2017.10	IF2011001280	M
IF2014008093	BMC.DL.NEM0..2017.16	IF2011001179	F
IF2014008095	BMC.DL.NEM0..2017.6	IF2011001135	U
IF2014008096	BMC.DL.NEM0..2017.8	IF2011001179	M
IF2014008097	SEM4	IF2011001249	U
IF2014008098	SEM4	#1	F
IF2014008099	BMC.DL.NEM0..2017.29	IF2011001135	U
IF2014008100	NEM11	IF2011001102	M
IF2014008101	BMC.DL.NEM0..2017.16	IF2011001102	F
IF2014008102	IOLR.DL.SEM0..2017.19	IF2011001102	M
IF2014008103	IOLR.DL.SEM0..2017.9	IF2011001249	U
IF2014008104	SEM4	IF2011001102	F
IF2014008105	BMC.DL.NEM0..2017.9	IF2011001280	U
IF2014008106	NEM5	IF2011001249	U
IF2014008107	NEM5	IF2011001179	F
IF2014008108	*2	IF2011001102	U
IF2014008109	BMC.DL.NEM0..2017.4	IF2011001135	F
IF2014008110	IOLR.DL.SEM0..2017.12	IF2011001207	F
IF2014008111	NEM13	IF2011001102	M
IF2014008112	IOLR.DL.SEM0..2017.12	IF2011001135	M
IF2014008113	SEM4	IF2011001207	F
IF2014008114	NEM5	IF2011001179	F
IF2014008115	BMC.DL.NEM0..2017.7	IF2011001179	F
IF2014008116	IOLR.DL.SEM0..2017.21	IF2011001005	U
IF2014008117	IOLR.DL.SEM0..2017.11	IF2011001005	U
IF2014008118	BMC.DL.NEM0..2017.2	IF2011001249	U
IF2014008119	IOLR.DL.SEM0..2017.16	IF2011001102	U
IF2014008120	IOLR.DL.SEM0..2017.14	IF2011001179	M
IF2014008121	NEM5	IF2011001249	U
IF2014008122	IOLR.DL.SEM0..2017.10	IF2011001102	U
IF2014008123	IOLR.DL.SEM0..2017.8	#1	U
IF2014008124	IOLR.DL.SEM0..2017.13	#1	M
IF2014008125	NEM11	IF2011001102	F
IF2014008126	NEM11	IF2011001102	U
IF2014008127	SEM4	IF2011001249	M
IF2014008128	BMC.DL.NEM0..2017.16	IF2011001179	U
IF2014008129	IOLR.DL.SEM0..2017.13	IF2011001249	U
IF2014008130	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014008131	NEM13	IF2011001249	U
IF2014008132	IOLR.DL.SEM0..2017.17	IF2011001135	U
IF2014008133	BMC.DL.NEM0..2017.29	IF2011001135	U
IF2014008134	IOLR.DL.SEM0..2017.8	IF2011001249	U
IF2014008135	IOLR.DL.SEM0..2017.12	IF2011001249	U
IF2014008136	SEM4	#1	M
IF2014008137	BMC.DL.NEM0..2017.6	IF2011001135	M
IF2014008138	SEM4	IF2011001249	U
IF2014008139	IOLR.DL.SEM0..2017.9	IF2011001005	U
IF2014008140	SEM2	#1	F
IF2014008141	BMC.DL.NEM0..2017.4	IF2011001179	M
IF2014008142	IOLR.DL.SEM0..2017.20	IF2011001179	F
IF2014008143	IOLR.DL.SEM0..2017.17	IF2011001249	U
IF2014008144	BMC.DL.NEM0..2017.16	IF2011001135	M
IF2014008145	BMC.DL.NEM0..2017.2	IF2011001249	U
IF2014008146	BMC.DL.NEM0..2017.2	IF2011001179	M
IF2014008147	IOLR.DL.SEM0..2017.11	IF2011001249	U
IF2014008148	IOLR.DL.SEM0..2017.11	IF2011001179	F
IF2014008149	BMC.DL.NEM0..2017.15	IF2011001280	U
IF2014008150	IOLR.DL.SEM0..2017.3	IF2011001135	M
